,code,name,eps_x,eps_yoy,bvps,roe_x,epcf,net_profits_x,profits_yoy,distrib,report_date,roe_y,net_profit_ratio,gross_profit_rate,net_profits_y,eps_y,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,time_point
351,600110,诺德股份,0.01,24.19,,0.47,,883.12,24.6,,04-30,0.47,2.46,23.1224,8.8312,0.0076,358.0084,0.3112,0.7408,121.4903,1.0328,87.1418,0.1274,706.4364,10.4419,49.6267,20.7256,-12.5077,24.1935,2.4652,0.8216,0.7354,38.226,119.5707,37.8807,62.1193,-1.0984,-0.0665,-39.4906,-0.107,-11.7028,2016-04-27
352,600110,诺德股份,0.01,24.19,,0.47,,883.12,24.6,,04-30,0.47,2.46,23.1224,8.8312,0.0076,358.0084,0.3112,0.7408,121.4903,1.0328,87.1418,0.1274,706.4364,10.4419,49.6267,20.7256,-12.5077,24.1935,2.4652,0.8216,0.7354,38.226,119.5707,37.8807,62.1193,-1.0984,-0.0665,-39.4906,-0.107,-11.7028,2016-04-27
353,600110,诺德股份,0.01,24.19,,0.47,,883.12,24.6,,04-30,0.47,2.46,23.1224,8.8312,0.0076,358.0084,0.3112,0.7408,121.4903,1.0328,87.1418,0.1274,706.4364,10.4419,49.6267,20.7256,-12.5077,24.1935,2.4652,0.8216,0.7354,38.226,119.5707,37.8807,62.1193,-1.0984,-0.0665,-39.4906,-0.107,-11.7028,2016-04-27
354,600110,诺德股份,0.01,24.19,,0.47,,883.12,24.6,,04-30,0.47,2.46,23.1224,8.8312,0.0076,358.0084,0.3112,0.7408,121.4903,1.0328,87.1418,0.1274,706.4364,10.4419,49.6267,20.7256,-12.5077,24.1935,2.4652,0.8216,0.7354,38.226,119.5707,37.8807,62.1193,-1.0984,-0.0665,-39.4906,-0.107,-11.7028,2016-04-27
355,000898,鞍钢股份,-0.09,-2933.33,,-1.43,,-61500.0,-3336.84,,04-30,-1.44,-5.45,6.9807,-615.0,-0.085,11274.0,1.5582,8.1518,11.0405,1.2811,70.2521,0.4598,195.7373,-24.6441,-3516.6667,-11.4449,0.2952,-2933.3333,-11.5507,0.5707,0.3831,5.4975,-173.3564,47.8288,52.1712,-0.1228,-0.0154,,-0.0295,-3.1065,2016-04-27
356,000898,鞍钢股份,-0.09,-2933.33,,-1.43,,-61500.0,-3336.84,,04-30,-1.44,-5.45,6.9807,-615.0,-0.085,11274.0,1.5582,8.1518,11.0405,1.2811,70.2521,0.4598,195.7373,-24.6441,-3516.6667,-11.4449,0.2952,-2933.3333,-11.5507,0.5707,0.3831,5.4975,-173.3564,47.8288,52.1712,-0.1228,-0.0154,,-0.0295,-3.1065,2016-04-27
357,000898,鞍钢股份,-0.09,-2933.33,,-1.43,,-61500.0,-3336.84,,04-30,-1.44,-5.45,6.9807,-615.0,-0.085,11274.0,1.5582,8.1518,11.0405,1.2811,70.2521,0.4598,195.7373,-24.6441,-3516.6667,-11.4449,0.2952,-2933.3333,-11.5507,0.5707,0.3831,5.4975,-173.3564,47.8288,52.1712,-0.1228,-0.0154,,-0.0295,-3.1065,2016-04-27
358,600880,博瑞传播,0.0,-92.33,,0.07,,250.42,-92.39,,04-30,0.06,1.12,36.7698,2.5042,0.0022,222.7356,0.2037,0.8284,108.6432,9.0228,9.9747,0.1436,626.7409,-29.4762,-95.7867,-7.272,-8.436,-92.3333,-1.7789,2.9776,2.9487,216.9936,-210.5925,86.9043,13.0957,0.1668,0.0084,23.5002,0.0638,7.0744,2016-04-27
359,600880,博瑞传播,0.0,-92.33,,0.07,,250.42,-92.39,,04-30,0.06,1.12,36.7698,2.5042,0.0022,222.7356,0.2037,0.8284,108.6432,9.0228,9.9747,0.1436,626.7409,-29.4762,-95.7867,-7.272,-8.436,-92.3333,-1.7789,2.9776,2.9487,216.9936,-210.5925,86.9043,13.0957,0.1668,0.0084,23.5002,0.0638,7.0744,2016-04-27
360,600880,博瑞传播,0.0,-92.33,,0.07,,250.42,-92.39,,04-30,0.06,1.12,36.7698,2.5042,0.0022,222.7356,0.2037,0.8284,108.6432,9.0228,9.9747,0.1436,626.7409,-29.4762,-95.7867,-7.272,-8.436,-92.3333,-1.7789,2.9776,2.9487,216.9936,-210.5925,86.9043,13.0957,0.1668,0.0084,23.5002,0.0638,7.0744,2016-04-27
