,code,name,eps_x,eps_yoy,roe_x,time_point
1152,002170,芭田股份,0.01,-68.12,0.31,2018-10-17
2889,002171,楚江新材,0.3,19.92,8.98,2018-10-17
3101,002172,澳洋健康,0.03,-87.1,1.61,2018-10-17
2722,002173,创新医疗,0.27,28.57,3.32,2018-10-17
2368,002174,游族网络,0.78,47.17,16.71,2018-10-17
1154,002175,东方网络,-0.14,-316.0,-10.64,2018-10-17
261,002176,江特电机,0.2,42.86,7.19,2018-10-17
2677,002179,中航光电,0.89,10.62,13.4,2018-10-17
31,002181,粤传媒,0.02,-148.95,0.69,2018-10-17
2882,002182,云海金属,0.38,83.65,15.08,2018-10-17
686,002183,怡亚通,0.18,-18.18,6.32,2018-10-17
1103,002184,海得控制,-0.21,-737.15,-4.56,2018-10-17
1824,002185,华天科技,0.15,-15.56,5.96,2018-10-17
3427,002186,全聚德,0.42,-3.81,8.41,2018-10-17
2890,002187,广百股份,0.45,7.14,5.74,2018-10-17
1158,002191,劲嘉股份,0.36,9.09,8.48,2018-10-17
3113,002193,如意集团,0.23,76.92,2.28,2018-10-17
2836,002195,二三四五,0.25,15.9,13.31,2018-10-17
2468,002197,证通电子,0.07,75.0,1.31,2018-10-17
3132,002198,嘉应制药,0.03,23.62,2.25,2018-10-17
2289,002199,东晶电子,-0.08,233.78,-4.05,2018-10-17
2152,002202,金风科技,0.67,5.49,10.73,2018-10-17
3460,002203,海亮股份,0.41,19.73,12.51,2018-10-17
919,002204,大连重工,-0.08,-1510.91,-2.3,2018-10-17
2374,002206,海利得,0.24,14.29,9.64,2018-10-17
2971,002207,ST准油,-0.07,-138.05,-5.02,2018-10-17
3043,002208,合肥城建,0.56,716.01,9.89,2018-10-17
3035,002211,宏达新材,0.03,-26.2,1.83,2018-10-17
490,002212,南洋股份,0.02,-33.33,0.31,2018-10-17
2292,002215,诺普信,0.32,20.0,14.51,2018-10-17
3227,002218,拓日新能,0.06,-39.8,2.54,2018-10-17
2892,002219,恒康医疗,-0.21,-253.44,-9.68,2018-10-17
1730,002220,天宝食品,0.05,-75.0,1.25,2018-10-17
2016,002221,东华能源,0.56,10.61,11.17,2018-10-17
2116,002222,福晶科技,0.31,24.24,16.04,2018-10-17
3369,002223,鱼跃医疗,0.63,19.06,11.41,2018-10-17
3190,002224,三力士,0.14,-26.32,5.24,2018-10-17
3116,002225,濮耐股份,0.19,280.0,7.03,2018-10-17
2725,002226,江南化工,0.17,70.01,3.85,2018-10-17
1660,002227,奥特迅,-0.04,-688.16,-1.23,2018-10-17
2472,002229,鸿博股份,-0.01,-53.1,-0.33,2018-10-17
2297,002231,奥维通信,-0.01,-25.84,-0.69,2018-10-17
1958,002232,启明信息,0.1,109.15,3.71,2018-10-17
2581,002235,安妮股份,0.11,-29.93,2.97,2018-10-17
2604,002236,大华股份,0.54,8.0,14.23,2018-10-17
3286,002237,恒邦股份,0.32,-3.03,6.72,2018-10-17
2386,002238,天威视讯,0.24,-19.57,5.47,2018-10-17
2977,002239,奥特佳,0.14,70.38,7.9,2018-10-17
3499,002240,威华股份,0.23,519.63,5.95,2018-10-17
3048,002243,通产丽星,0.15,57.29,3.58,2018-10-17
1801,002244,滨江集团,0.23,-34.29,4.88,2018-10-17
2478,002245,澳洋顺昌,0.23,-14.26,8.66,2018-10-17
2546,002246,北化股份,0.14,4.75,3.29,2018-10-17
698,002247,聚力文化,0.41,2.5,6.7,2018-10-17
1328,002249,大洋电机,0.06,-33.33,1.61,2018-10-17
